Produk;Bulan;Prediksi Penjualan;Urutan
Dupleks310;Desember 2023;45300000.0;1
CraftLaminasi290;Desember 2023;14400000.0;1
Ivory230;Desember 2023;20940000.0;1
Dupleks350;Desember 2023;14550000.0;1
FoodpakMatte245;Desember 2023;23700000.0;1
Dupleks310;Januari 2024;45300000.0;2
CraftLaminasi290;Januari 2024;14400000.0;2
Ivory230;Januari 2024;15550000.0;2
Dupleks350;Januari 2024;12150000.0;2
FoodpakMatte245;Januari 2024;12200000.0;2
Dupleks310;Februari 2024;17433333.333333332;3
CraftLaminasi290;Februari 2024;22793750.0;3
Ivory230;Februari 2024;18800000.0;3
Dupleks350;Februari 2024;12633333.333333334;3
FoodpakMatte245;Februari 2024;20175000.0;3
